id,hue,saturation,value,svsum,grid_x,grid_y
TL.2017.46.114.8.snap,0.184143564,0.146691736,0.641411135,0.78810287,40,142
IMG_79.56.13,0.150729632,0.146693055,0.516391175,0.663084229,40,143
96_15_a,0.22144504,0.146719211,0.577308282,0.724027493,40,144
98_12,0.090860859,0.146724009,0.788841031,0.93556504,40,145
M_2013_9_1,0.098628713,0.146752666,0.718694193,0.865446859,40,146
61_19_15_B,0.089529235,0.146791133,0.810634991,0.957426124,40,147
A_1_68_env,0.067139915,0.146853728,0.662210444,0.809064172,40,148
RC_22_21_a,0.024013322,0.146858613,0.70448718,0.851345794,40,149
91_15_70,0.109890387,0.146888505,0.76541911,0.912307616,40,150
M_2002_12_3,0.324612932,0.146904034,0.731074944,0.877978978,41,0
IMG_85.28.4,0.363343868,0.146917219,0.520269865,0.667187084,41,1
M_2011_12_44,0.090940688,0.146927373,0.716635572,0.863562945,41,2
99_1_277,0.114626807,0.146933552,0.806756357,0.95368991,41,3
TL.2017.46.188,0.485177509,0.146942098,0.659974742,0.80691684,41,4
A_1_544_r,0.129963265,0.146954541,0.416421098,0.563375639,41,5
87_20_6,0.351810046,0.147002918,0.75324819,0.900251108,41,6
IMG_M.2002.11.2.2.G,0.157866876,0.147014967,0.550549017,0.697563984,41,7
48_1_3,0.144570556,0.147018579,0.634421399,0.781439978,41,8
IMG_89.12,0.551760738,0.147023698,0.487605603,0.634629301,41,9
84_33_9,0.077922881,0.147110825,0.78359592,0.930706745,41,10
85_24_25_A,0.151080998,0.147141405,0.780635106,0.927776511,41,11
99_1_55,0.098411382,0.147168036,0.751705439,0.898873475,41,12
99_1_156,0.111092828,0.147174649,0.725016146,0.872190795,41,13
70_18_a,0.085280005,0.147193546,0.614618225,0.761811771,41,14
A_1_514_e,0.115852633,0.147203832,0.458042086,0.605245918,41,15
77_9_10,0.128709036,0.147215581,0.818361557,0.965577138,41,16
IMG_85.24.50,0.222309388,0.147266308,0.431224479,0.578490787,41,17
37_2_21,0.096684258,0.147325157,0.675512199,0.822837356,41,18
83_34_15_E,0.37281601,0.14733196,0.532414795,0.679746756,41,19
A_1_105,0.055243031,0.147345534,0.858131039,1.005476573,41,20
77_60_12,0.418429097,0.147365539,0.330464803,0.477830342,41,21
56_16_4_B_a,0.099532314,0.147377074,0.645847159,0.793224232,41,22
89_20_6,0.112061705,0.147377084,0.811067746,0.958444829,41,23
IMG_90.10.1.H,0.123199894,0.147383914,0.525464516,0.67284843,41,24
64_28_a,0.029948893,0.147387332,0.723308791,0.870696123,41,25
A_1_152,0.051280309,0.14739563,0.889932199,1.03732783,41,26
IMG_88.6.44,0.551736247,0.147406138,0.621362825,0.768768963,41,27
74_7_F,0.127500235,0.14741267,0.884290901,1.031703571,41,28
72_17,0.086567444,0.147416163,0.79374279,0.941158953,41,29
CP_9_a,0.113262903,0.147476779,0.614720595,0.762197374,41,30
41_15_47_front cover,0.199683163,0.147479481,0.447904468,0.595383949,41,31
77_9_92,0.090330025,0.147479626,0.852479664,0.99995929,41,32
93_1_94_b_a,0.099007058,0.147504695,0.561534297,0.709038992,41,33
92_21_31,0.39816611,0.147507112,0.260089916,0.407597028,41,34
93_1_117,0.108655808,0.14751371,0.532398232,0.679911942,41,35
Argros,0.039598592,0.147528063,0.84954078,0.997068844,41,36
Agra,0.053020878,0.147548274,0.863856826,1.0114051,41,37
SL_2013_13_r,0.230059637,0.147568096,0.431621664,0.57918976,41,38
52_7_2,0.090377909,0.147570201,0.617805163,0.765375364,41,39
TL.2017.46.45,0.655575277,0.14758264,0.577756546,0.725339185,41,40
51_1,0.112007552,0.147591388,0.85367073,1.001262119,41,41
IMG_49.17.121,0.1537909,0.147609207,0.75120145,0.898810657,41,42
RC_11_3_a,0.176273087,0.147628007,0.654580254,0.802208261,41,43
M_2008_2_068,0.228442881,0.147643466,0.559852481,0.707495946,41,44
IMG_RC.3.7,0.599025995,0.147664564,0.587980787,0.735645351,41,45
IMG_80.32.26,0.163353854,0.147673433,0.600564347,0.74823778,41,46
M_2012_20_3_a,0.12601284,0.147722937,0.654510049,0.802232986,41,47
A_1_674_N_r,0.173129263,0.147749345,0.332846388,0.480595733,41,48
IMG_81.1.24.B,0.179497098,0.14776998,0.453106787,0.600876767,41,49
93_1_114,0.167492208,0.147833502,0.607826577,0.755660079,41,50
99_1_296,0.124574082,0.147881138,0.721386694,0.869267832,41,51
56_14_J,0.112046089,0.14795949,0.909771395,1.057730885,41,52
99_1_263,0.117390578,0.14796398,0.685243303,0.833207283,41,53
IMG_81.14.1,0.424124423,0.147978786,0.724905621,0.872884406,41,54
99_16_4,0.108156707,0.148017434,0.839628043,0.987645477,41,55
IMG_86.20.front,0.507262081,0.148017735,0.751016971,0.899034706,41,56
93_1_110_a,0.171714855,0.148018757,0.538040862,0.686059618,41,57
A_1_739_G_r,0.128507553,0.14803397,0.819211051,0.967245021,41,58
62_32_17_A,0.132574344,0.148070958,0.614318297,0.762389255,41,59
IMG_79.68.9,0.532724626,0.148083072,0.172942332,0.321025404,41,60
IMG_M.2004.21.10,0.136568333,0.148083273,0.783136817,0.93122009,41,61
M_2016_22_9_r,0.182579444,0.148114238,0.278708501,0.426822739,41,62
93_5_10,0.244245782,0.148143793,0.731212995,0.879356788,41,63
A_1_735_P_r,0.148718612,0.148144498,0.576588817,0.724733314,41,64
IMG_81.31.35,0.140376036,0.148145935,0.638374299,0.786520233,41,65
M_2016_22_12,0.095214194,0.148216392,0.938409776,1.086626168,41,66
M_2014_11_2,0.288086482,0.148234838,0.241842831,0.390077669,41,67
32_3_3,0.112320326,0.148251813,0.858326194,1.006578007,41,68
30_2_5_a,0.088700526,0.148260168,0.611953623,0.760213791,41,69
A_1_735_Z_r,0.144931839,0.148343524,0.643708643,0.792052167,41,70
91_35_10_H,0.208035384,0.148390035,0.730770416,0.879160451,41,71
TL.2017.46.92,0.397123324,0.148433279,0.694672269,0.843105548,41,72
61_19_3_F,0.320058094,0.148436961,0.636275052,0.784712013,41,73
